Hour,Minute,Traffic,Sources,UDP,TCP
0,0,2106929,96487,135443,1896381
0,1,1989633,96519,137213,1775975
0,2,1974694,97867,139253,1758867
0,3,1490345,98306,139985,1275096
0,4,1359381,98348,139029,1144330
0,5,1441198,98738,137849,1226879
0,6,1433223,96128,127213,1230409
0,7,1433294,95662,130614,1225996
0,8,1403888,96161,133879,1194434
0,9,1391366,96222,123078,1191576
0,10,1427235,96370,118792,1235297
0,11,1453743,96240,118323,1261281
0,12,1417554,97224,122999,1217347
0,13,1338263,97509,125532,1132545
0,14,1367131,96928,122610,1168299
0,15,1314308,96312,120212,1117379
0,16,1293022,94811,118708,1096778
0,17,1287717,93569,114237,1096333
0,18,1290579,94196,115273,1098932
0,19,1295563,96102,121143,1098365
0,20,1356421,96657,124231,1154835
0,21,1315543,96576,124580,1114272
0,22,1359790,96761,124135,1161490
0,23,1386303,97430,128099,1180281
0,24,1389304,97729,129415,1182654
0,25,1318385,98248,131115,1108691
0,26,1294084,99042,135222,1080612
0,27,1284144,98614,132335,1073123
0,28,1281065,98429,132673,1068735
0,29,1209802,99299,133171,999026
0,30,1092236,99747,136365,875815
0,31,1039186,98924,136069,826200
0,32,1071022,100125,139967,851439
0,33,1133855,99460,137517,915603
0,34,1455793,100551,138327,1235749
0,35,2279595,100263,137654,2057197
0,36,2325114,100321,137846,2083292
0,37,2359100,99870,139175,2114773
0,38,2397064,99719,140004,2163612
0,39,2425022,100211,140999,2201240
0,40,3883673,100108,137429,3668178
0,41,6876513,99221,134117,6666848
0,42,6480930,99794,139341,6266801
0,43,5929710,99696,135420,5719644
0,44,2174866,100207,135551,1965328
0,45,1213913,100154,136627,1004334
0,46,1260718,102088,142736,1043466
0,47,1136632,102869,141479,920506
0,48,1068764,101350,140386,853946
0,49,1642914,99277,134186,1435153
0,50,2042022,98809,133932,1833996
0,51,2095598,98477,132976,1882945
0,52,2049664,98839,134788,1826619
0,53,2030128,98553,132722,1813701
0,54,2053894,99468,133528,1838210
0,55,2082639,98920,132073,1873257
0,56,2135792,98400,132199,1925352
0,57,2107515,98485,132899,1860512
0,58,2094932,98832,131877,1872307
0,59,2200521,98274,132348,1992736
1,0,2078749,96923,132921,1871597
1,1,2079104,97342,127669,1878090
1,2,2199249,98133,127878,1998171
1,3,2053487,97693,124962,1856530
1,4,2102872,97348,125612,1904970
1,5,1993865,98326,126956,1799067
1,6,2032793,97593,126601,1808739
1,7,1212403,97543,122147,992645
1,8,1085391,98694,126740,855975
1,9,1065340,98001,122512,843066
1,10,1112113,99327,125678,890354
1,11,1112375,98834,125661,887269
1,12,1076615,98294,125122,853561
1,13,1091624,98790,127669,861892
1,14,1109561,98234,124191,886552
1,15,1142959,98017,124129,921903
1,16,1121614,98916,127818,896233
1,17,1117847,98765,124703,891058
1,18,1283872,99555,128079,1058686
1,19,1165123,99851,126295,940291
1,20,1134790,99638,126567,902744
1,21,1090508,99051,128268,859497
1,22,1087101,99430,127114,859560
1,23,1076908,99327,125615,849043
1,24,1098674,98445,124837,874547
1,25,1267203,98046,125810,1041239
1,26,1206510,98339,125020,985276
1,27,1177738,98330,125682,950050
1,28,1183977,99031,128665,941469
1,29,1224187,101332,137441,974092
1,30,1543709,101725,137922,1289254
1,31,1646118,100802,135354,1397822
1,32,2459422,100856,135351,2208437
1,33,2757750,100649,135157,2512092
1,34,2849160,100899,133625,2599526
1,35,2813574,101022,138924,2556117
1,36,3992629,101207,135333,3744910
1,37,4663942,101076,135828,4416093
1,38,4538147,100998,137254,4288916
1,39,4151299,101640,137087,3887316
1,40,4134150,101955,138190,3858019
1,41,4263877,101871,139940,3989987
1,42,4211246,101469,137601,3944431
1,43,4168103,101035,136695,3918974
1,44,4214098,99884,136685,3964486
1,45,2394360,99804,130675,2152100
1,46,1235133,99404,131266,991365
1,47,1107726,99463,130688,861393
1,48,1122765,98716,131031,860122
1,49,1105647,99574,133973,863330
1,50,1155283,99681,138244,889085
1,51,1230639,99980,137441,954469
1,52,1212977,100052,136374,941133
1,53,1150466,100772,140461,878477
1,54,1129392,100892,143195,888391
1,55,1116404,99936,141870,884565
1,56,1132036,101016,143887,899796
1,57,1114387,101338,145266,880461
1,58,1117845,101431,149768,883752
1,59,1107025,101489,154001,874572
2,0,1064742,100868,149053,853722
2,1,1716584,99964,142914,1512348
2,2,2422691,100459,141791,2219114
2,3,2416817,100602,144893,2210869
2,4,3502704,100326,142045,3299498
2,5,3966148,100170,143260,3762063
2,6,3894353,100495,141862,3691157
2,7,2433864,99257,139845,2232630
2,8,2426417,99847,138263,2227847
2,9,2405767,99634,137433,2207297
2,10,2402786,99470,136422,2200534
2,11,2547424,98933,135351,2344035
2,12,2376267,100398,138734,2169568
2,13,2202349,99403,141563,1979828
2,14,1084607,98661,140589,860144
2,15,1020491,99924,142594,794696
2,16,1035685,99238,134383,816678
