Hour,Minute,Traffic,Sources,UDP,TCP
0,0,964970,102459,94709,827287
0,1,930892,102594,91779,796816
0,2,1139689,104749,94786,995887
0,3,999627,105538,95482,852376
0,4,1106170,106332,112162,943016
0,5,1107195,106997,127105,929961
0,6,1109752,107320,108022,951412
0,7,1225763,108113,146072,1032428
0,8,1284384,109230,114703,1119990
0,9,1255488,110544,103100,1101162
0,10,1172626,110351,137002,987361
0,11,1070894,109754,102344,919574
0,12,1084056,109606,113716,922683
0,13,1100307,109546,114873,934990
0,14,1121001,110304,129510,937339
0,15,1053532,109911,113366,887422
0,16,1058654,109301,128098,879442
0,17,1137187,109958,122026,965009
0,18,1064734,110483,132816,883736
0,19,1063762,110022,103444,910533
0,20,1141616,110621,102359,990905
0,21,1125315,110228,102986,974067
0,22,1074872,109498,118098,864232
0,23,1094963,110952,112505,933386
0,24,997040,110798,102728,847812
0,25,1020819,111240,112781,858749
0,26,1071745,110505,102164,918514
0,27,1140230,111056,115205,976333
0,28,1158308,111610,131950,980459
0,29,1077836,110423,115651,915969
0,30,1096211,109819,142800,909823
0,31,1003184,110087,101964,857356
0,32,1088737,110033,121151,925128
0,33,1118875,108419,100745,977467
0,34,1551229,107590,119782,1390831
0,35,1300177,107531,118023,1141324
0,36,1114550,108378,102335,972168
0,37,1284833,108386,149223,1095078
0,38,1029417,108106,99567,888754
0,39,1073940,107889,101661,930541
0,40,1136017,107779,137988,957610
0,41,973295,106516,98283,836197
0,42,973742,106495,98902,836884
0,43,956870,105667,97184,822734
0,44,935280,106348,96784,797139
0,45,1027345,107614,97954,888576
0,46,1050818,107739,117904,864329
0,47,974748,107495,116715,819625
0,48,1185358,106929,168378,978693
0,49,1238298,105696,97816,1100183
0,50,1201046,106902,98060,1063166
0,51,1281610,106918,99686,1141843
0,52,1176712,107209,99964,1037740
0,53,1249938,107270,101039,1108418
0,54,1217268,106989,115730,1042861
0,55,1276421,106816,115110,1101541
0,56,1294305,108700,148844,1077434
0,57,1303155,109208,102429,1134178
0,58,1273269,109170,101127,1107983
0,59,1307344,108916,126278,1123722
1,0,1216870,109223,122837,1042498
1,1,1295712,109467,142371,1081605
1,2,1257171,109768,127052,1061082
1,3,1274664,109922,138740,1081965
1,4,1215704,109969,126899,1041891
1,5,1225584,110339,100603,1078196
1,6,1177798,109066,99229,1028044
1,7,1142031,111463,147349,948909
1,8,1222127,112684,118679,1017177
1,9,1133117,112478,116847,964795
1,10,1051645,111792,116729,890575
1,11,1222213,112649,131037,1016382
1,12,1476288,111954,104269,1317593
1,13,1369844,111967,126364,1200661
1,14,1127005,111067,102525,976877
1,15,1052268,112376,116038,888028
1,16,1061450,113601,104901,912807
1,17,1097168,113013,104144,952346
1,18,1191984,114134,105433,1047736
1,19,1201513,113025,115815,1046480
1,20,1306053,113828,119360,1147366
1,21,1043256,113018,104831,898230
1,22,1117096,113296,104339,963946
1,23,1035482,113909,106102,880837
1,24,1009881,114663,121223,817002
1,25,977914,114745,105671,829409
1,26,1274148,114803,105669,1123474
1,27,1270512,112848,116881,1109905
1,28,1020249,113808,104540,872983
1,29,973168,113018,107014,821777
1,30,969074,113399,121239,801934
1,31,939345,113006,102730,792602
1,32,961510,113365,137812,780608
1,33,1014300,114123,120859,850830
1,34,977782,112084,103703,798580
1,35,962542,112001,103233,815633
1,36,1045473,110944,118321,884984
1,37,1038993,109431,132486,863734
1,38,1058311,111123,117355,896904
1,39,1134240,112164,119557,967885
1,40,1048278,110720,119426,882496
1,41,1090500,111246,102232,942661
1,42,1165996,109941,156432,960913
1,43,1019645,109759,99728,876696
1,44,1045785,109210,132783,869908
1,45,1240545,109660,132556,1064234
1,46,1306827,108161,118856,1143323
1,47,1485272,107237,126317,1312930
1,48,1487201,107952,125556,1283063
1,49,1309729,106726,121594,1122939
1,50,1346545,106650,107226,1170462
1,51,1245269,106032,107084,1091170
1,52,1395129,105484,106124,1245096
1,53,1324860,104873,111229,1170072
1,54,1264625,104625,111105,1110641
1,55,1125571,103286,94081,989108
1,56,1184456,103545,94710,1047783
1,57,1122469,104640,104258,976614
1,58,1112165,103543,124860,945738
1,59,1124969,104741,121389,961091
2,0,1067761,104001,103747,923015
2,1,1152896,105708,106592,1005666
2,2,1124980,107162,108286,971198
2,3,1093918,106898,93876,947970
2,4,1139199,106119,95087,994920
2,5,1060287,104564,93978,921175
2,6,1177822,103207,118126,1011648
2,7,1222929,102631,113680,1060965
2,8,1071972,103244,91232,927070
2,9,1109055,102870,90493,965306
2,10,1112258,102477,92024,968831
2,11,1123550,102810,118730,955555
2,12,1121223,101905,90988,978684
2,13,1101232,101008,118519,931807
2,14,1175114,102022,90626,1032897
2,15,1128450,101116,87555,992590
2,16,1106263,101299,105324,951210
2,17,1179174,100582,88833,1042208
2,18,1073302,100873,89300,934091
2,19,1239610,100616,89368,1097052
2,20,1894757,100042,100466,1741315
2,21,1607883,104287,94245,1421279
2,22,1647062,103890,93456,1499164
2,23,1190115,102069,91703,1045891
2,24,1132164,102408,121994,959841
2,25,1053466,101849,89712,912698
2,26,1043767,102579,91684,894728
2,27,1258396,102280,91553,1112150
2,28,1054850,100881,90127,912167
2,29,1083283,100995,91632,935054
2,30,1302992,100381,105527,1142039
2,31,1087845,99729,103351,930645
2,32,1155557,100704,86373,1013199
2,33,1196737,100700,88755,1053288
2,34,1145109,101241,90618,998712
2,35,1061148,99292,117155,889291
2,36,1098789,99922,148649,897213
2,37,1155218,99250,96640,1005016
2,38,1118007,98351,146020,916939
2,39,1063201,98232,113661,898076
2,40,1061019,98366,127310,883277
2,41,1138747,98658,105431,983177
2,42,1219911,98307,83190,1085847
2,43,1164646,98613,85175,1030227
2,44,1122955,98896,120936,951591
2,45,1044922,98659,85005,908655
2,46,1068034,97723,84564,931863
2,47,1130344,98167,85028,995352
2,48,1207299,97840,84240,1074702
2,49,1476437,98223,84983,1342028
2,50,1610143,97441,115352,1447344
2,51,1464039,96794,84612,1333117
2,52,1479873,96938,99050,1335947
2,53,1197015,96939,101110,1049584
2,54,1105315,96410,100301,960647
2,55,1021386,96575,99616,877893
2,56,1026152,96539,84017,893595
2,57,1313788,97111,118094,1148541
2,58,1183721,97574,85304,1052300
2,59,1207501,96838,102980,1059053
3,0,1113245,96613,98255,968267
3,1,1101808,95477,82635,972982
3,2,1161305,96064,99487,1016157
3,3,1159667,96407,84340,1029962
3,4,1104224,96182,83000,976959
3,5,1149023,96654,93743,1012116
3,6,1253793,96233,96558,1114659
3,7,1193146,96634,87790,1058252
3,8,1062389,96080,118570,886162
3,9,1196444,96039,91366,1044922
3,10,1166673,97043,104336,1007478
3,11,1207650,95804,81592,1064705
3,12,1110450,96446,82873,969150
3,13,1094579,96133,80834,955552
3,14,1087187,95573,80447,950575
3,15,1165237,95762,80662,1025435
3,16,1298190,96252,80335,1158177
3,17,1079751,95860,82241,937152
3,18,1144491,95496,96084,986210
3,19,1414342,95383,80968,1271202
3,20,1523660,96130,78902,1381496
3,21,1298347,95854,81661,1156202
3,22,1545006,96043,91253,1393985
3,23,1304378,94636,92831,1152980
3,24,1057418,94561,103746,895389
3,25,1160799,94220,92395,1010137
3,26,1131668,94934,90352,982802
3,27,1039535,95010,108237,877194
3,28,1006991,94584,80007,872797
3,29,989837,94933,80250,856334
3,30,966656,93998,79224,835301
3,31,977510,92735,77535,848132
3,32,1002044,92293,76754,873917
3,33,1002039,93474,79015,874207
3,34,1076292,94097,77663,949303
3,35,1016530,93976,78396,890343
3,36,1006676,93862,75367,876596
3,37,911612,93745,93820,765069
3,38,1057506,92834,93776,915189
3,39,1019805,92047,74156,897050
3,40,1016180,92790,76212,887432
3,41,1008809,93526,76278,879948
3,42,1044382,94439,95473,898849
3,43,1148289,93834,76201,1021722
3,44,1009405,93919,75256,880817
3,45,1007526,92757,77105,866917
3,46,1090161,92740,74234,955042
3,47,1025721,93305,76690,895130
3,48,1036313,93375,112600,851613
3,49,1034364,94073,76327,869071
3,50,1055706,94554,96364,867957
3,51,1029649,93098,91046,867305
3,52,996274,93243,78670,862970
3,53,1015371,93300,94356,865923
3,54,1137908,94264,93933,986007
3,55,1055658,94040,98711,897655
3,56,1085617,94748,80253,945633
3,57,1105463,95050,97479,951486
3,58,1156764,94264,78964,1022940
3,59,1232214,94897,78391,1096749
4,0,1174059,94888,88065,1029902
4,1,1196779,94619,94097,1022627
4,2,1191991,92892,77546,1059640
4,3,1144732,92041,92933,998775
4,4,1187038,92447,78368,1056515
4,5,1354148,95188,94931,1206304
4,6,1236214,95740,81739,1096871
